,,,,,,,,,,,,
,YEAR,MONTH,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,DEATHS,TOTAL_DEATHS
,-2000,,,,,SYRIA,SYRIAN COASTS,35.683,35.8,,,
,-1610,,,,,GREECE,THERA ISLAND (SANTORINI),36.4,25.4,90,,
,-1365,,,,,SYRIA,SYRIAN COASTS,35.683,35.8,,,
,-1300,,,,6,TURKEY,"IONIAN COASTS, TROAD",39.96,26.24,,,
,-760,,,,,ISRAEL,ISRAEL AND LEBANON COASTS,,,,,
,-590,,,,,LEBANON,LEBANON COASTS,33.27,35.22,,,
,-525,,,,,LEBANON,LEBANON COASTS,33.56,35.37,,,
,-480,9,29,,,GREECE,SARONIC GULF,37.9,23.5,,,
,-479,,,,7,GREECE,NORTH AEGEAN,39.7,23.3,,,
,-426,6,,,7.1,GREECE,CORINTHOS-PATRAS GULF,38.9,22.7,,,2500
,-373,,,,7.3,GREECE,CORINTHOS-PATRAS GULF,38.25,22.25,,,
,-330,,,,7,GREECE,"E. SPORADES ISLANDS, AEGEAN ISLANDS",40,25,,,
,-326,11,,,,INDIA,KUTCH,23,71,,,
,-227,,,,7.2,GREECE,DODECANESE ISLANDS,36.3,28.3,,,
,-226,,,,,GREECE,SOUTH EVIOKOS GULF,38.6,23.3,,,
,-223,10,,,,GREECE,MALIAKOS GULF,38.809,22.784,,,
,-218,,,,,SPAIN,CADIZ,36.2,-7.17,,,
,-210,,,,,PORTUGAL,GULF OF CADIZ,36,-10.5,,,
,-198,,,,,GREECE,THERA ISLAND (SANTORINI),36.404,25.396,,,
,-150,,,,,SRI LANKA,SRI LANKA,,,,,
,-138,,,,,ISRAEL,ISRAEL AND LEBANON COASTS,,,,,
,-60,,,,6.7,PORTUGAL,CABO SAN VICENTE,36,-10,,,
,-58,,,,6.6,ALBANIA,ALBANIA,41.3,19.5,,,
,-50,,,,,BULGARIA,BLACK SEA,43.5,28.5,,,
,-50,,,,5.5,GEORGIA,BLACK SEA,43,41,,,
,-47,9,,,,CHINA,"LAIZHOU BAY, BOHAI SEA",37.5,119.5,,,
,-23,,,,,EGYPT,ALEXANDRIA,,,,,
,46,,,,6.2,GREECE,THERA ISLAND (SANTORINI),36.404,25.396,,,
,62,,,,6.9,GREECE,CRETE,35.2,25.1,,,
,76,6,20,,6.3,CYPRUS,LEVANTIAN SEA,34.8,32,,,
,79,8,24,,,ITALY,BAY OF NAPLES,40.821,14.426,,,3500
,115,12,13,,7.5,TURKEY,ANTAKYA (ANTIOCH),36.1,36.1,,,
,120,,,,7.2,TURKEY,MARMARA SEA,40.77,29.92,,,
,123,,,,6.3,SOUTH KOREA,SEA OF JAPAN,35.8,129.2,,,
,142,,,,7,GREECE,DODECANESE ISLANDS,36.7,28,,,
,173,6,28,,,CHINA,"LAIZHOU BAY, BOHAI SEA",37.5,120,,,
,177,,,,,ITALY,ISLAND OF SICILY,38,15,,,
,258,,,,,ITALY,TYRRHENIAN SEA,41.9,12.45,,,
,262,,,,,TURKEY,SOUTH COASTS OF ASIA MINOR,36.6,30,,,
,315,,,,,DEAD SEA,DEAD SEA,31.7,35.5,,,
,342,,,,,CYPRUS ISLAND,CYPRUS,,,,,
,344,,,,,TURKEY,"MARMARA SEA, DARDANELLES",40.3,26.5,,,
,346,,,,6.8,ALBANIA,ADRIATIC SEA,41.4,19.4,,,
,348,,,,4.1,TURKEY,LEVANTIAN SEA,33.9,35.5,,,
,358,8,24,,,TURKEY,MARMARA SEA,40.77,29.9,,,
,362,5,24,,,JORDAN,DEAD SEA,31.3,35.6,,,
,365,7,21,70,8,GREECE,CRETE,35,23,,5000,5000
,368,,,,6.4,TURKEY,MARMARA SEA,40.5,29.6,,,
,382,,,,,PORTUGAL,CABO SAN VICENTE,36,-10.83,,,
,407,4,1,,6.6,TURKEY,MARMARA SEA,41,29,,,
,416,,,,,INDONESIA,JAVA-S. JAVA,-6.102,105.423,,,
,426,,,,,GREECE,GULF OF EUBOEA,,,,,
,447,1,26,,7.3,TURKEY,MARMARA SEA,40.9,28.5,,,
,450,1,26,,7,TURKEY,MARMARA SEA,40.4,28.4,,,
,478,9,25,,,TURKEY,MARMARA SEA,40.8,29.2,,,
,543,,,,6.8,TURKEY,BLACK SEA,40.3,27.8,,,
,551,4,,,7.1,GREECE,ETOLIA,38.4,22.3,,,4000
,551,7,7,,,GREECE,,38.4,22.3,,,5000
,551,7,9,,7.8,TURKEY,LEVANTIAN SEA,40.8,29.9,,,
,552,5,,,7.2,GREECE,MALIAKOS GULF,38.4,22.4,,,
,554,8,15,,7,GREECE,ISLAND OF KOS,36.5,27.5,,,
,555,8,15,,,GREECE,THRACE,41,29.5,,,
,557,,,,7,TURKEY,MARMARA SEA,40.9,27.6,,,
,558,12,14,,7,TURKEY,"MARMARA SEA, STRAIT OF BOSPORUS",40.9,28.8,,,
,558,,,,7,GREECE,DODECANESE ISLANDS,37.1,27.7,,,
,684,11,29,,8.4,JAPAN,NANKAIDO,32.5,134,3,,
,701,5,12,,7,JAPAN,SEA OF JAPAN,35.7,135.4,,,
,704,8,2,,7,JAPAN,KUMANONADA,33.8,136.7,,,
,740,10,26,,7.3,TURKEY,MARMARA SEA,40.7,29.3,,,
,744,6,30,,6.4,JAPAN,SW. KYUSHU ISLAND,32.4,130.5,,1520,1520
,745,6,9,,6.5,JAPAN,"OSAKA BAY, JAPAN",34.6,135.3,,,
,746,1,18,,4.9,SYRIA,SYRIAN and EGYPTIAN COASTS,32,35.5,,,
,765,7,,,,JAPAN,KYUSHU ISLAND,,,,,
,766,7,20,,6.5,JAPAN,N. KAGOSHIMA BAY,31.6,130.7,,,
,792,4,30,,,ITALY,GULF OF VENICE,45.5,11,,,
,799,9,18,,,JAPAN,"KASHIMA, JAPAN",,,2,,
,800,,,,,GREECE,IONIAN SEA,36.2,23.2,,,
,803,12,19,,,TURKEY,GULF OF ISKENDERUN,36.95,35.6,,,
,818,8,,,7.9,JAPAN,TOKAIDO,35.2,139.3,,,
,842,10,24,,,UK,"CHANNEL ISLANDS, ENGLAND",49.5,-2.5,,,
,850,11,27,,7,JAPAN,NW. HONSHU ISLAND,39,139.9,,,
,855,6,,,,JAPAN,NANKAIDO,,,2,,
,859,,,,,TURKEY,SAMANDAGI,36.08,36.25,,,
,863,7,10,,7,JAPAN,NW. HONSHU ISLAND,37.1,138,,,
,869,7,13,,8.6,JAPAN,SANRIKU,38.5,143.8,,1000,
,881,4,8,,,ISRAEL,ISRAEL AND EGYPTIAN COASTS,,,,,
,881,6,10,,,SPAIN,CADIZ,36,-8,,,
,887,8,2,,6.5,JAPAN,NIIGATA,37.5,138.1,,2000,2000
,887,8,26,,8.6,JAPAN,NANKAIDO,33,135.3,,,
,900,,,,,INDIA,NAGAPATTINAM,10.46,79.53,,200,200
,922,,,,7,JAPAN,KUMANONADA,33.8,136.7,2,,
,957,4,4,,,IRAN,PERSIAN GULF OR CASPIAN SEA,,,,,
,963,7,22,,,ITALY,SICILY,38,15,,,
