,Name,Country,Type,lat,lng,Elevation,geometry
0,Abu ,            Japan          ,            Shield          ,34.5,131.60000610351562,641.0,POINT (131.6000061035156 34.5)
1,Acamarachi ,            Chile          ,            Stratovolcano          ,-23.299999237060547,-67.62000274658203,6046.0,POINT (-67.62000274658203 -23.29999923706055)
2,Acatenango ,            Guatemala          ,            Stratovolcano          ,14.5,-90.87999725341797,3976.0,POINT (-90.87999725341797 14.5)
3,Acigöl-Nevsehir ,            Turkey          ,            Caldera          ,38.56999969482422,34.52000045776367,1689.0,POINT (34.52000045776367 38.56999969482422)
4,Adams ,            USA          ,            Stratovolcano          ,46.209999084472656,-121.48999786376953,3742.0,POINT (-121.4899978637695 46.20999908447266)
5,Adams Seamount ,            Pacific Ocean          ,            Submarine          ,-25.3700008392334,-129.27000427246094,-39.0,POINT (-129.2700042724609 -25.3700008392334)
6,Adatara ,            Japan          ,            Stratovolcano          ,37.63999938964844,140.2899932861328,1718.0,POINT (140.2899932861328 37.63999938964844)
7,Adwa ,            Ethiopia          ,            Stratovolcano          ,10.069999694824219,40.84000015258789,1733.0,POINT (40.84000015258789 10.06999969482422)
8,Afderà ,            Ethiopia          ,            Stratovolcano          ,13.079999923706055,40.849998474121094,1295.0,POINT (40.84999847412109 13.07999992370605)
9,Agrigan ,            Mariana Islands          ,            Stratovolcano          ,18.770000457763672,145.6699981689453,965.0,POINT (145.6699981689453 18.77000045776367)
10,Agua ,            Guatemala          ,            Stratovolcano          ,14.470000267028809,-90.73999786376953,3760.0,POINT (-90.73999786376953 14.47000026702881)
11,Agua de Pau ,            Azores          ,            Stratovolcano          ,37.77000045776367,-25.469999313354492,947.0,POINT (-25.46999931335449 37.77000045776367)
12,Aguilera ,            Chile          ,            Stratovolcano          ,-50.33000183105469,-73.75,2546.0,POINT (-73.75 -50.33000183105469)
13,Agung ,            Lesser Sunda Islands          ,            Stratovolcano          ,-8.34000015258789,115.51000213623047,3142.0,POINT (115.5100021362305 -8.340000152587891)
14,Ahyi ,            Mariana Islands          ,            Submarine          ,20.420000076293945,145.02999877929688,-137.0,POINT (145.0299987792969 20.42000007629395)
15,Akademia Nauk ,            Russia          ,            Caldera          ,53.97999954223633,159.4499969482422,1180.0,POINT (159.4499969482422 53.97999954223633)
16,Akagi ,            Japan          ,            Stratovolcano          ,36.560001373291016,139.1999969482422,1828.0,POINT (139.1999969482422 36.56000137329102)
17,Akan ,            Japan          ,            Caldera          ,43.380001068115234,144.00999450683594,1499.0,POINT (144.0099945068359 43.38000106811523)
18,Akhtang ,            Russia          ,            Shield          ,55.43000030517578,158.64999389648438,1956.0,POINT (158.6499938964844 55.43000030517578)
19,Akita Komagatake ,            Japan          ,            Stratovolcano          ,39.7599983215332,140.8000030517578,1637.0,POINT (140.8000030517578 39.7599983215332)
20,Akita Yakeyama ,            Japan          ,            Stratovolcano          ,39.959999084472656,140.75999450683594,1366.0,POINT (140.7599945068359 39.95999908447266)
21,Akuseki-jima ,            Japan          ,            Stratovolcano          ,29.459999084472656,129.60000610351562,584.0,POINT (129.6000061035156 29.45999908447266)
22,Akutan ,            USA          ,            Stratovolcano          ,54.130001068115234,-165.99000549316406,1303.0,POINT (-165.9900054931641 54.13000106811523)
23,Alaid ,            Russia          ,            Stratovolcano          ,50.86000061035156,155.5500030517578,2339.0,POINT (155.5500030517578 50.86000061035156)
24,Alamagan ,            Mariana Islands          ,            Stratovolcano          ,17.600000381469727,145.8300018310547,744.0,POINT (145.8300018310547 17.60000038146973)
25,Alayta ,            Ethiopia          ,            Shield          ,12.880000114440918,40.56999969482422,1501.0,POINT (40.56999969482422 12.88000011444092)
