"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_United Nations Population Division","Thousand","32358",""
"Albania","Total","2011","UN_United Nations Population Division","Thousand","3216",""
"Algeria","Total","2011","UN_United Nations Population Division","Thousand","35980",""
"Andorra","Total","2011","UN_United Nations Population Division","Thousand","86",""
"Angola","Total","2011","UN_United Nations Population Division","Thousand","19618",""
"Antigua and Barbuda","Total","2011","UN_United Nations Population Division","Thousand","90",""
"Argentina","Total","2011","UN_United Nations Population Division","Thousand","40765",""
"Armenia","Total","2011","UN_United Nations Population Division","Thousand","3100",""
"Australia","Total","2011","UN_United Nations Population Division","Thousand","22606",""
"Austria","Total","2011","UN_United Nations Population Division","Thousand","8413",""
"Azerbaijan","Total","2011","UN_United Nations Population Division","Thousand","9306",""
"Bahamas","Total","2011","UN_United Nations Population Division","Thousand","347",""
"Bahrain","Total","2011","UN_United Nations Population Division","Thousand","1324",""
"Bangladesh","Total","2011","UN_United Nations Population Division","Thousand","150494",""
"Barbados","Total","2011","UN_United Nations Population Division","Thousand","274",""
"Belarus","Total","2011","UN_United Nations Population Division","Thousand","9559",""
"Belgium","Total","2011","UN_United Nations Population Division","Thousand","10754",""
"Belize","Total","2011","UN_United Nations Population Division","Thousand","318",""
"Benin","Total","2011","UN_United Nations Population Division","Thousand","9100",""
"Bhutan","Total","2011","UN_United Nations Population Division","Thousand","738",""
"Bolivia (Plurinational State of)","Total","2011","UN_United Nations Population Division","Thousand","10088",""
"Bosnia and Herzegovina","Total","2011","UN_United Nations Population Division","Thousand","3752",""
"Botswana","Total","2011","UN_United Nations Population Division","Thousand","2031",""
"Brazil","Total","2011","UN_United Nations Population Division","Thousand","196655",""
"Brunei Darussalam","Total","2011","UN_United Nations Population Division","Thousand","406",""
"Bulgaria","Total","2011","UN_United Nations Population Division","Thousand","7446",""
"Burkina Faso","Total","2011","UN_United Nations Population Division","Thousand","16968",""
"Burundi","Total","2011","UN_United Nations Population Division","Thousand","8575",""
"Cambodia","Total","2011","UN_United Nations Population Division","Thousand","14305",""
"Cameroon","Total","2011","UN_United Nations Population Division","Thousand","20030",""
"Canada","Total","2011","UN_United Nations Population Division","Thousand","34350",""
"Cape Verde","Total","2011","UN_United Nations Population Division","Thousand","501",""
"CEE/CIS","Total","2011","UN_United Nations Population Division","Thousand","405743","1"
"Central African Republic","Total","2011","UN_United Nations Population Division","Thousand","4487",""
"Chad","Total","2011","UN_United Nations Population Division","Thousand","11525",""
"Chile","Total","2011","UN_United Nations Population Division","Thousand","17270",""
"China","Total","2011","UN_United Nations Population Division","Thousand","1347565",""
"Colombia","Total","2011","UN_United Nations Population Division","Thousand","46927",""
"Comoros","Total","2011","UN_United Nations Population Division","Thousand","754",""
"Congo","Total","2011","UN_United Nations Population Division","Thousand","4140",""
